c;market;v;isin
Spartoo;XPAR;ALSPT; 
Speed Rabbit Pizza SA;XPAR;MLSRP; 
SPIE SA;XPAR;SPIE; 
Spineguard;XPAR;ALSGD; 
Spineway;XPAR;ALSPW; 
Spir Communication SA;XPAR;SPI; 
SQLI SA;XPAR;SQI; 
SRP Groupe SA;XPAR;SRP; 
St Dupont SA;XPAR;DPT; 
Stallerg̬nes SA;XPAR;GENP; 
Ste Marseillaise du Tunnel Prado Carenage SA;XPAR;SMTPC; 
STEF;XPAR;STF; 
STMicroelectronics NV;XPAR;STM; 
Stradim Espace Finances SA;XPAR;ALSAS; 
Streamwide;XPAR;ALSTW; 
Sumo Resources PLC;XPAR;MLSUM; 
Sword Group;XPAR;SWP; 
Synergie SE;XPAR;SDG; 
Tarkett SA;XPAR;TKTT; 
Tatatu SPA;XPAR;ALTTU; 
Tayninh;XPAR;TAYN; 
TEAM;XPAR;MLTEA; 
Technicolor Creative Studios;XPAR;TCHCS; 
Technip Energies NV;XPAR;TE; 
Teleperformance SE;XPAR;TEP; 
Televerbier SA;XPAR;TVRB; 
Television Francaise 1 SA;XPAR;TFI; 
Teract SA;XPAR;TRACT; 
Tessi;XPAR;TES; 
TFF Group;XPAR;TFF; 
Thales;XPAR;HO; 
The Azur Selection SA;XPAR;MLAZR; 
The Blockchain Group;XPAR;ALTBG; 
Theraclion;XPAR;ALTHE; 
Theradiag;XPAR;ALTER; 
Theranexus SA;XPAR;ALTHX; 
TheraVet SA;XPAR;ALVET; 
Thermador Groupe SA;XPAR;THEP; 
Tikehau Capital SCA;XPAR;TKO; 
Tipiak SA;XPAR;TIPI; 
Tivoly;XPAR;ALTIV; 
TME Pharma NV;XPAR;ALTME; 
Toolux Sanding;XPAR;ALTLX; 
Toosla SA;XPAR;ALTOO; 
TotalEnergies EP Gabon;XPAR;EC; 
TotalEnergies SE;XPAR;TTE; 
Touax;XPAR;TOUP; 
Tramways de Rouen SA;XPAR;MLTRA; 
Tramways du Var et du Gard SA;XPAR;MLCVG; 
Transgene SA;XPAR;TNG; 
Transition Evergreen;XPAR;EGR; 
Travel Technology Interactive SA;XPAR;ALTTI; 
Trigano SA;XPAR;TRI; 
Trilogiq SA;XPAR;ALTRI; 
Tronics Microsystems;XPAR;ALTRO; 
Txcom;XPAR;ALTXC; 
U10 Corp;XPAR;ALU10; 
Ubisoft Entertainment;XPAR;UBI; 
UCAR;XPAR;ALUCR; 
Umalis Group;XPAR;MLUMG; 
Umanis NR;XPAR;ALUMS; 
Unibel;XPAR;UNBL; 
Union Financiere de France Banque;XPAR;UFF; 
Union Technologies Informatique Group;XPAR;FPG; 
Uniti SA;XPAR;ALUNT; 
Upergy;XPAR;ALUPG; 
UV Germi SA;XPAR;ALUVI; 
Valbiotis SA;XPAR;ALVAL; 
Valeo SA;XPAR;FR; 
Vallourec SA;XPAR;VK; 
Valneva SE;XPAR;VLA; 
Vantiva SA;XPAR;VANTI; 
Vaziva SA;XPAR;MLVAZ; 
Vente Unique.Com;XPAR;ALVU; 
Veolia Environnement SA;XPAR;VIE; 
VEOM Group;XPAR;ALVG; 
Verallia;XFRA;1VRA; 
Vergnet SA;XPAR;ALVER; 
Verimatrix;XPAR;VMX; 
Verney-Carron SA;XPAR;MLVER; 
Vetoquinol SA;XPAR;VETO; 
Vialife SA;XPAR;ALVIA; 
Vicat SA;XPAR;VCT; 
Videlio SA;XPAR;VDLO; 
Viel & Compagnie;XPAR;VIL; 
Vilmorin & Cie;XPAR;RIN; 
Vinci SA;XPAR;DG; 
Virbac SA;XPAR;VIRP; 
Visiativ SA;XPAR;ALVIV; 
Visiodent SA;XPAR;SDT; 
Visiomed Group;XPAR;ALVMG; 
Vitura;XPAR;VTR; 
Vivendi SE;XPAR;VIV; 
VOGO SA;XPAR;ALVGO; 
Voltalia SA;XPAR;VLTSA; 
Voyageurs du Monde SA;XPAR;ALVDM; 
Vranken Pommery Monopole;XPAR;VRAP; 
Waga Energy SA;XPAR;WAGA; 
Wallix Group SA;XPAR;ALLIX; 
Wavestone SA;XPAR;WAVE; 
We connect SA;XPAR;ALWEC; 
Weaccess Group SA;XPAR;MLWEA; 
Wedia;XPAR;ALWED; 
WELL SA;XPAR;MLWEL; 
Wendel SE;XPAR;MF; 
Winfarm;XPAR;ALWF; 
Witbe SA;XPAR;ALWIT; 
Wiziboat SA;XPAR;MLWIZ; 
Worldline SA;XPAR;WLN; 
X-FAB Silicon Foundries SE;XPAR;XFAB; 
Xilam Animation;XPAR;XIL; 
XPO Logistics SA;XPAR;XPO; 
ZCCM Investments Holdings PLC;XPAR;MLZAM; 
