c;market;v;sector;group;industry
IVU Traffic Technologies AG;XETR;IVU;Technology;Software;Software - Application
JDC Group AG;XETR;JDC;Financial Services;Diversified Financial Services;Financial Conglomerates
Jenoptik AG;XETR;JEN;Technology;Hardware;Electronic Components
Johnson & Johnson;XETR;JNJ;Healthcare;Drug Manufacturers;Drug Manufacturers - General
JOST Werke AG;XETR;JST;Consumer Cyclical;Vehicles & Parts;Auto Parts
Jungheinrich AG;XETR;JUN3;Industrials;Industrial Products;Specialty Industrial Machinery
K+S AG;XETR;SDF;Basic Materials;Agriculture;Agricultural Inputs
KATEK SE;XETR;KTEK;Industrials;Industrial Products;Electrical Equipment & Parts
Kellogg Co;XETR;KEL;Consumer Defensive;Consumer Packaged Goods;Packaged Foods
KHD Humboldt Wedag International AG;XETR;KWG;Industrials;Industrial Distribution;Industrial Distribution
Kimberly-Clark Corp;XETR;KMY;Consumer Defensive;Consumer Packaged Goods;Household & Personal Products
Kingfisher PLC;XETR;KFI1;Consumer Cyclical;Retail - Cyclical;Home Improvement Retail
Kinross Gold Corp;XETR;KIN2;Basic Materials;Metals & Mining;Gold
KION GROUP AG;XETR;KGX;Industrials;Farm & Heavy Construction Machinery;Farm & Heavy Construction Machinery
KLA Corp;XETR;KLA;Technology;Semiconductors;Semiconductor Equipment & Materials
Klassik Radio AG;XETR;KA8;Communication Services;Media - Diversified;Broadcasting
Kloeckner & Co SE;XETR;KCO;Basic Materials;Steel;Steel
Knaus Tabbert AG;XETR;KTA;Consumer Cyclical;Vehicles & Parts;Recreational Vehicles
Knorr-Bremse AG;XETR;KBX;Consumer Cyclical;Vehicles & Parts;Auto Parts
Koenig & Bauer AG;XETR;SKB;Industrials;Industrial Products;Specialty Industrial Machinery
Kontron AG;XETR;KTN;Technology;Hardware;Computer Hardware
Kps AG;XETR;KSC;Technology;Software;Information Technology Services
KROMI Logistik AG;XETR;K1R;Industrials;Industrial Distribution;Industrial Distribution
Krones AG;XETR;KRN;Industrials;Industrial Products;Specialty Industrial Machinery
KSB SE & Co KGaA;XETR;KSB3;Industrials;Industrial Products;Specialty Industrial Machinery
KUKA AG;XETR;KU2;Industrials;Industrial Products;Specialty Industrial Machinery
KWS SAAT SE & Co KGaA;XETR;KWS;Consumer Defensive;Consumer Packaged Goods;Farm Products
L3Harris Technologies Inc;XETR;HRS;Industrials;Aerospace & Defense;Aerospace & Defense
LAIQON AG;XETR;LQAG;Financial Services;Asset Management;Asset Management
Lakestar SPAC I SE;XETR;LRS1;Financial Services;Diversified Financial Services;Shell Companies
Lam Research Corp;XETR;LAR;Technology;Semiconductors;Semiconductor Equipment & Materials
Lang & Schwarz AG;XETR;LUS1;Financial Services;Capital Markets;Capital Markets
Lanxess AG;XETR;LXS;Basic Materials;Chemicals;Specialty Chemicals
learnd SE;XETR;LRND;Financial Services;Diversified Financial Services;Shell Companies
LEG Immobilien SE;XETR;LEG;Real Estate;Real Estate;Real Estate Services
Leifheit AG;XETR;LEI;Consumer Defensive;Consumer Packaged Goods;Household & Personal Products
Leoni AG;XETR;LEO;Industrials;Industrial Products;Electrical Equipment & Parts
Limes Schlosskliniken AG;XETR;LIK;Healthcare;Healthcare Providers & Services;Medical Care Facilities
Linde PLC;XETR;LIN;Basic Materials;Chemicals;Specialty Chemicals
Linus Digital Finance AG;XETR;LDF;Financial Services;Asset Management;Asset Management
Lion E-Mobility AG;XETR;LMIA;Industrials;Industrial Products;Electrical Equipment & Parts
Lloyds Banking Group PLC;XETR;LLD;Financial Services;Banks;Banks - Regional
Lockheed Martin Corp;XETR;LOM;Industrials;Aerospace & Defense;Aerospace & Defense
LogMeIn Inc;XETR;9LG;Technology;Software;Software - Application
Logwin AG;XETR;TGHN;Industrials;Transportation;Integrated Freight & Logistics
LPKF Laser & Electronics SE;XETR;LPK;Industrials;Industrial Products;Specialty Industrial Machinery
LS telcom AG;XETR;LSX;Communication Services;Telecommunication Services;Telecom Services
Ludwig Beck am Rathauseck - Textilhaus Feldmeier AG;XETR;ECK;Consumer Cyclical;Retail - Cyclical;Department Stores
Lululemon Athletica Inc;XETR;33L;Consumer Cyclical;Retail - Cyclical;Apparel Retail
Lumen Technologies Inc;XETR;CYTH;Communication Services;Telecommunication Services;Telecom Services
Lyft Inc;XETR;LY0;Technology;Software;Software - Application
M1 Kliniken AG;XETR;M12;Healthcare;Healthcare Providers & Services;Medical Care Facilities
Macy's Inc;XETR;FDO;Consumer Cyclical;Retail - Cyclical;Department Stores
MAN SE;XETR;MAN;Industrials;Farm & Heavy Construction Machinery;Farm & Heavy Construction Machinery
Manz AG;XETR;M5Z;Technology;Semiconductors;Semiconductor Equipment & Materials
Marathon Oil Corp;XETR;USS;Energy;Oil & Gas;Oil & Gas E&P
Marathon Petroleum Corp;XETR;MPN;Energy;Oil & Gas;Oil & Gas Refining & Marketing
Marna Beteiligungen AG;XETR;M5S;Financial Services;Asset Management;Asset Management
Marriott Vacations Worldwide Corp;XETR;M8V;Consumer Cyclical;Travel & Leisure;Resorts & Casinos
Masco Corp;XETR;MSQ;Industrials;Construction;Building Products & Equipment
Mastercard Inc;XETR;M4I;Financial Services;Credit Services;Credit Services
Masterflex SE;XETR;MZX;Basic Materials;Chemicals;Specialty Chemicals
Match Group Inc;XETR;4MGN;Communication Services;Interactive Media;Internet Content & Information
MAX Automation SE;XETR;MXHN;Industrials;Industrial Products;Specialty Industrial Machinery
MAX21 AG;XETR;MA10;Financial Services;Asset Management;Asset Management
MBB SE;XETR;MBB;Industrials;Conglomerates;Conglomerates
MBH Corp PLC;XETR;M8H;Real Estate;Real Estate;Real Estate Services
McDonald's Corp;XETR;MDO;Consumer Cyclical;Restaurants;Restaurants
Medigene AG;XETR;MDG1;Healthcare;Biotechnology;Biotechnology
Medion AG;XETR;MDN;Technology;Hardware;Consumer Electronics
Medios AG;XETR;ILM1;Healthcare;Medical Distribution;Medical Distribution
Mediqon Group AG;XETR;MCE;Technology;Software;Information Technology Services
Medtronic PLC;XETR;2M6;Healthcare;Medical Devices & Instruments;Medical Devices
Mendarion SE;XETR;Z29;Technology;Software;Information Technology Services
Mensch und Maschine Software SE;XETR;MUM;Technology;Software;Software - Application
MercadoLibre Inc;XETR;MLB1;Consumer Cyclical;Retail - Cyclical;Internet Retail
Mercedes-Benz Group AG;XETR;MBG;Consumer Cyclical;Vehicles & Parts;Auto Manufacturers
Merck & Co Inc;XETR;6MK;Healthcare;Drug Manufacturers;Drug Manufacturers - General
Merck KGaA;XETR;MRK;Healthcare;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Merkur Privatbank KGaA;XETR;MBK;Financial Services;Banks;Banks - Regional
Meta Platforms Inc;XETR;FB2A;Communication Services;Interactive Media;Internet Content & Information
Meta Wolf AG;XETR;MPSC;Industrials;Construction;Building Products & Equipment
METRO AG;XETR;B4B;Consumer Defensive;Retail - Defensive;Food Distribution
MeVis Medical Solutions AG;XETR;M3V;Healthcare;Healthcare Providers & Services;Health Information Services
MGI - Media and Games Invest SE;XETR;M8G;Technology;Software;Software - Application
MGM Resorts International;XETR;MGG;Consumer Cyclical;Travel & Leisure;Resorts & Casinos
MHP Hotel AG;XETR;CDZ0;Consumer Cyclical;Travel & Leisure;Lodging
mic AG;XETR;M3BK;Financial Services;Asset Management;Asset Management
Micron Technology Inc;XETR;MTE;Technology;Semiconductors;Semiconductors
Microvision Inc;XETR;MVIN;Technology;Hardware;Scientific & Technical Instruments
Miller Industries Inc;XETR;5OJ;Consumer Cyclical;Vehicles & Parts;Auto Parts
Mister Spex SE;XETR;MRX;Consumer Cyclical;Retail - Cyclical;Specialty Retail
MLP SE;XETR;MLP;Financial Services;Asset Management;Asset Management
Mobotix AG;XETR;MBQ;Industrials;Business Services;Security & Protection Services
Moderna Inc;XETR;0QF;Healthcare;Biotechnology;Biotechnology
Mologen AG;XETR;MGNK;Healthcare;Biotechnology;Biotechnology
Mondelez International Inc;XETR;KTF;Consumer Defensive;Consumer Packaged Goods;Confectioners
Morgan Stanley;XETR;DWD;Financial Services;Capital Markets;Capital Markets
MorphoSys AG;XETR;MOR;Healthcare;Biotechnology;Biotechnology
MPC Muenchmeyer Petersen Capital AG;XETR;MPCK;Financial Services;Asset Management;Asset Management
MPH Health Care AG;XETR;93M1;Healthcare;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
MS Industrie AG;XETR;MSAG;Consumer Cyclical;Vehicles & Parts;Auto Parts
MSCI Inc;XETR;3HM;Financial Services;Capital Markets;Financial Data & Stock Exchanges
MTU Aero Engines AG;XETR;MTX;Industrials;Aerospace & Defense;Aerospace & Defense
Muehlbauer Holding AG;XETR;MUB;Technology;Hardware;Computer Hardware
Muehlhan AG;XETR;M4N;Industrials;Construction;Engineering & Construction
Muller- Die Lila Logistik SE;XETR;MLL;Industrials;Transportation;Integrated Freight & Logistics
Multitude SE;XETR;FRU;Financial Services;Credit Services;Credit Services
Munchener Ruckversicherungs-Gesellschaft AG;XETR;MUV2;Financial Services;Insurance;Insurance - Reinsurance
Mutares SE & Co KGaA;XETR;MUX;Financial Services;Asset Management;Asset Management
mVISE AG;XETR;C1V;Communication Services;Telecommunication Services;Telecom Services
MVV Energie AG;XETR;MVV1;Utilities;Utilities - Regulated;Utilities - Diversified
MWB Wertpapierhandelsbank AG;XETR;MWB;Financial Services;Capital Markets;Capital Markets
MyBucks SA;XETR;MBC;Financial Services;Banks;Banks - Regional
Mynaric AG;XETR;M0YN;Technology;Hardware;Communication Equipment
Nabaltec AG;XETR;NTG;Basic Materials;Chemicals;Specialty Chemicals
Nagarro SE;XETR;NA9;Technology;Software;Information Technology Services
Nanogate SE;XETR;N7G;Basic Materials;Chemicals;Chemicals
NanoRepro AG;XETR;NN6;Healthcare;Medical Diagnostics & Research;Diagnostics & Research
Nasdaq Inc;XETR;NAQ;Financial Services;Capital Markets;Financial Data & Stock Exchanges
National Grid PLC;XETR;NNGF;Utilities;Utilities - Regulated;Utilities - Regulated Electric
NatWest Group PLC;XETR;RYSD;Financial Services;Banks;Banks - Diversified
Nemetschek SE;XETR;NEM;Technology;Software;Software - Application
Neon Equity AG;XETR;D77;Financial Services;Asset Management;Asset Management
Net Mobile AG;XETR;N1M;Communication Services;Telecommunication Services;Telecom Services
Netflix Inc;XETR;NFC;Communication Services;Media - Diversified;Entertainment
New Work SE;XETR;NWO;Communication Services;Interactive Media;Internet Content & Information
Newmont Corp;XETR;NMM;Basic Materials;Metals & Mining;Gold
NeXR Technologies SE;XETR;NXR;Technology;Hardware;Computer Hardware
Nexus AG;XETR;NXU;Healthcare;Healthcare Providers & Services;Health Information Services
NFON AG;XETR;NFN;Technology;Software;Software - Infrastructure
niiio finance group AG;XETR;NIIN;Technology;Software;Software - Application
Nike Inc;XETR;NKE;Consumer Cyclical;Manufacturing - Apparel & Accessories;Footwear & Accessories
Nikola Corp;XETR;8NI;Industrials;Farm & Heavy Construction Machinery;Farm & Heavy Construction Machinery
Noratis AG;XETR;NUVA;Real Estate;Real Estate;Real Estate - Development
NorCom Information Technology GmbH & Co KGaA;XETR;NC5A;Industrials;Business Services;Specialty Business Services
Nordex SE;XETR;NDX1;Industrials;Industrial Products;Specialty Industrial Machinery
Norfolk Southern Corp;XETR;NFS;Industrials;Transportation;Railroads
NORMA Group SE;XETR;NOEJ;Industrials;Industrial Products;Metal Fabrication
Northern Data AG;XETR;NB2;Technology;Software;Information Technology Services
Novem Group SA;XETR;NVM;Consumer Cyclical;Vehicles & Parts;Auto Parts
Nuernberger Beteiligungs AG;XETR;NBG6;Financial Services;Insurance;Insurance - Diversified
NVIDIA Corp;XETR;NVD;Technology;Semiconductors;Semiconductors
Nynomic AG;XETR;M7U;Technology;Hardware;Scientific & Technical Instruments
OboTech Acquisition SE;XETR;OTA;Financial Services;Diversified Financial Services;Shell Companies
Occidental Petroleum Corp;XETR;OPC;Energy;Oil & Gas;Oil & Gas E&P
OEKOWORLD AG;XETR;VVV3;Financial Services;Insurance;Insurance Brokers
OHB SE;XETR;OHB;Industrials;Aerospace & Defense;Aerospace & Defense
Olin Corp;XETR;OLN;Basic Materials;Chemicals;Specialty Chemicals
ON Semiconductor Corp;XETR;XS4;Technology;Semiconductors;Semiconductors
onoff AG;XETR;2QU;Technology;Software;Information Technology Services
OPENLiMiT Holding AG;XETR;O5H;Technology;Software;Software - Application
Oracle Corp;XETR;ORC;Technology;Software;Software - Infrastructure
Orbis AG;XETR;OBS;Technology;Software;Information Technology Services
Ormat Technologies Inc;XETR;HNM;Utilities;Utilities - Independent Power Producers;Utilities - Renewable
OTRS AG;XETR;TR9;Technology;Software;Software - Application
PACCAR Inc;XETR;PAE;Industrials;Farm & Heavy Construction Machinery;Farm & Heavy Construction Machinery
Paion Ag;XETR;PA8;Healthcare;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Palantir Technologies Inc;XETR;PTX;Technology;Software;Software - Infrastructure
Palo Alto Networks Inc;XETR;5AP;Technology;Software;Software - Infrastructure
PANTAFLIX AG;XETR;PAL;Communication Services;Media - Diversified;Entertainment
Paragon GmbH & Co KGaA;XETR;PGN;Consumer Cyclical;Vehicles & Parts;Auto Parts
Patrizia AG;XETR;PAT;Real Estate;Real Estate;Real Estate Services
Paychex Inc;XETR;PCX;Industrials;Business Services;Staffing & Employment Services
Paycom Software Inc;XETR;0PY;Technology;Software;Software - Application
PayPal Holdings Inc;XETR;2PP;Financial Services;Credit Services;Credit Services
Peloton Interactive Inc;XETR;2ON;Consumer Cyclical;Travel & Leisure;Leisure
Petro Welt Technologies AG;XETR;O2C;Energy;Oil & Gas;Oil & Gas Equipment & Services
Pfeiffer Vacuum Technology AG;XETR;PFV;Industrials;Industrial Products;Specialty Industrial Machinery
Pferdewetten de AG;XETR;EMH1;Consumer Cyclical;Travel & Leisure;Gambling
PharmaSGP Holding SE;XETR;PSG;Healthcare;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Philip Morris International Inc;XETR;4I1;Consumer Defensive;Tobacco Products;Tobacco
Phillips 66;XETR;R66;Energy;Oil & Gas;Oil & Gas Refining & Marketing
Plan Optik AG;XETR;P4O;Technology;Hardware;Scientific & Technical Instruments
Plug Power Inc;XETR;PLUN;Industrials;Industrial Products;Electrical Equipment & Parts
PNE AG;XETR;PNE3;Utilities;Utilities - Independent Power Producers;Utilities - Renewable
Pool Corp;XETR;SP1;Industrials;Industrial Distribution;Industrial Distribution
Porsche Automobil Holding SE;XETR;PAH3;Consumer Cyclical;Vehicles & Parts;Auto Manufacturers
PREOS Global Office Real Estate & Technology AG;XETR;PAG;Real Estate;Real Estate;Real Estate Services
PRO DV AG;XETR;PDA;Technology;Software;Information Technology Services
ProCredit Holding AG & Co KGaA;XETR;PCZ;Financial Services;Banks;Banks - Diversified
Procter & Gamble Co;XETR;PRG;Consumer Defensive;Consumer Packaged Goods;Household & Personal Products
Progress-Werk Oberkirch AG;XETR;PWO;Consumer Cyclical;Vehicles & Parts;Auto Parts
ProSiebenSat 1 Media SE;XETR;PSM;Communication Services;Media - Diversified;Broadcasting
Proton Motor Power Systems PLC;XETR;P6K0;Industrials;Industrial Products;Electrical Equipment & Parts
Prudential Financial Inc;XETR;PLL;Financial Services;Insurance;Insurance - Life
Prudential PLC;XETR;PRU;Financial Services;Insurance;Insurance - Life
PSI Software AG;XETR;PSAN;Technology;Software;Software - Application
publity AG;XETR;PBY;Real Estate;Real Estate;Real Estate Services
Puma SE;XETR;PUM;Consumer Cyclical;Manufacturing - Apparel & Accessories;Footwear & Accessories
PVA TePla AG;XETR;TPE;Industrials;Industrial Products;Specialty Industrial Machinery
Q.Beyond AG;XETR;QBY;Technology;Software;Information Technology Services
Qiagen NV;XETR;QIA;Healthcare;Medical Diagnostics & Research;Diagnostics & Research
Qualcomm Inc;XETR;QCI;Technology;Semiconductors;Semiconductors
Quirin Privatbank AG;XETR;QB7;Financial Services;Banks;Banks - Regional
R Stahl AG;XETR;RSL2;Industrials;Industrial Products;Specialty Industrial Machinery
Radian Group Inc;XETR;RAG;Financial Services;Insurance;Insurance - Specialty
Ralph Lauren Corp;XETR;PRL;Consumer Cyclical;Manufacturing - Apparel & Accessories;Apparel Manufacturing
Rational AG;XETR;RAA;Industrials;Industrial Products;Specialty Industrial Machinery
Raytheon Technologies Corp;XETR;5UR;Industrials;Aerospace & Defense;Aerospace & Defense
Reckitt Benckiser Group PLC;XETR;3RB;Consumer Defensive;Consumer Packaged Goods;Household & Personal Products
Regeneron Pharmaceuticals Inc;XETR;RGO;Healthcare;Biotechnology;Biotechnology
RH;XETR;RS1;Consumer Cyclical;Retail - Cyclical;Specialty Retail
Rheinmetall AG;XETR;RHM;Industrials;Aerospace & Defense;Aerospace & Defense
Rhoen Klinikum AG;XETR;RHK;Healthcare;Healthcare Providers & Services;Medical Care Facilities
RingCentral Inc;XETR;3RCA;Technology;Software;Software - Application
Ringmetall SE;XETR;HP3A;Industrials;Industrial Products;Tools & Accessories
Rio Tinto PLC;XETR;RIO1;Basic Materials;Metals & Mining;Other Industrial Metals & Mining
Rolls-Royce Holdings PLC;XETR;RRU;Industrials;Aerospace & Defense;Aerospace & Defense
ROY Asset Holding SE;XETR;RY8;Industrials;Construction;Building Products & Equipment
RTL Group SA;XETR;RRTL;Communication Services;Media - Diversified;Broadcasting
Rubean AG;XETR;R1B;Technology;Software;Software - Infrastructure
RWE AG;XETR;RWE;Utilities;Utilities - Regulated;Utilities - Diversified
Ryanair Holdings PLC;XETR;RY4C;Industrials;Transportation;Airlines
SAF Holland SE;XETR;SFQ;Consumer Cyclical;Vehicles & Parts;Auto Parts
Salesforce Inc;XETR;FOO;Technology;Software;Software - Application
Salzgitter AG;XETR;SZG;Basic Materials;Steel;Steel
SAP SE;XETR;SAP;Technology;Software;Software - Application
Sartorius AG;XETR;SRT3;Healthcare;Medical Devices & Instruments;Medical Instruments & Supplies
SBF AG;XETR;CY1K;Industrials;Transportation;Railroads
Schaeffler AG;XETR;SHA;Consumer Cyclical;Vehicles & Parts;Auto Parts
Scherzer & Co AG;XETR;PZS;Financial Services;Asset Management;Asset Management
Schloss Wachenheim AG;XETR;SWA;Consumer Defensive;Beverages - Alcoholic;Beverages - Wineries & Distilleries
