c;market;v;sector;group;industry
SLM Solutions Group AG;XETR;AM3D;Industrials;Industrial Products;Specialty Industrial Machinery
SM Wirtschaftsberatungs AG;XETR;SMWN;Real Estate;REITs;REIT - Diversified
SMA Solar Technology AG;XETR;S92;Technology;Semiconductors;Solar
Smartbroker Holding AG;XETR;SB1;Financial Services;Capital Markets;Financial Data & Stock Exchanges
SMG European Recovery SPAC SE;XETR;RCVR;Financial Services;Diversified Financial Services;Shell Companies
SMT Scharf AG;XETR;S4AA;Industrials;Transportation;Railroads
Snap Inc;XETR;1SI;Communication Services;Interactive Media;Internet Content & Information
Snowflake Inc;XETR;5Q5;Technology;Software;Software - Application
SNP Schneider-Neureither & Partner SE;XETR;SHF;Technology;Software;Information Technology Services
Social Chain AG;XETR;PU11;Communication Services;Interactive Media;Internet Content & Information
Softing AG;XETR;SYT;Technology;Software;Information Technology Services
Softline AG;XETR;SFD1;Technology;Software;Information Technology Services
Software AG;XETR;SOW;Technology;Software;Software - Infrastructure
Solutiance AG;XETR;SLSA;Industrials;Industrial Products;Electrical Equipment & Parts
Spielvgg Unterhaching KGAA;XETR;S6P;Consumer Cyclical;Travel & Leisure;Leisure
splendid medien AG;XETR;SPM;Communication Services;Media - Diversified;Entertainment
Splunk Inc;XETR;S0U;Technology;Software;Software - Infrastructure
SPORTTOTAL AG;XETR;WIG1;Communication Services;Media - Diversified;Entertainment
SSE PLC;XETR;SCT;Utilities;Utilities - Regulated;Utilities - Diversified
Stabilus SE;XETR;STM;Industrials;Industrial Products;Specialty Industrial Machinery
Stanley Black & Decker Inc;XETR;SWF;Industrials;Industrial Products;Tools & Accessories
Starbucks Corp;XETR;SRB;Consumer Cyclical;Restaurants;Restaurants
State Street Corporation;XETR;ZYA;Financial Services;Asset Management;Asset Management
Steico SE;XETR;ST5;Basic Materials;Forest Products;Lumber & Wood Production
Stemmer Imaging AG;XETR;S9I;Industrials;Industrial Products;Specialty Industrial Machinery
Sto SE & Co KGaA;XETR;STO3;Industrials;Construction;Building Products & Equipment
Stratec SE;XETR;SBS;Healthcare;Medical Devices & Instruments;Medical Devices
Stroeer SE & Co KGaA;XETR;SAX;Communication Services;Media - Diversified;Advertising Agencies
STS Group AG;XETR;SF3;Consumer Cyclical;Vehicles & Parts;Auto Parts
Suedzucker AG;XETR;SZU;Consumer Defensive;Consumer Packaged Goods;Packaged Foods
SUESS MicroTec SE;XETR;SMHN;Technology;Semiconductors;Semiconductor Equipment & Materials
SunMirror AG;XETR;ROR;Basic Materials;Metals & Mining;Other Industrial Metals & Mining
Sunrun Inc;XETR;3S9;Technology;Semiconductors;Solar
SUSE SA;XETR;SUSE;Technology;Software;Software - Application
SVB Financial Group;XETR;SV4;Financial Services;Banks;Banks - Regional
Symrise AG;XETR;SY1;Basic Materials;Chemicals;Specialty Chemicals
SynBiotic SE;XETR;SBX;Healthcare;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Synchrony Financial;XETR;SFE;Financial Services;Credit Services;Credit Services
Synlab AG;XETR;SYAB;Healthcare;Medical Diagnostics & Research;Diagnostics & Research
Synopsys Inc;XETR;SYP;Technology;Software;Software - Infrastructure
Sysco Corp;XETR;SYY;Consumer Defensive;Retail - Defensive;Food Distribution
Syzygy AG;XETR;SYZ;Communication Services;Media - Diversified;Advertising Agencies
T-Mobile US Inc;XETR;TM5;Communication Services;Telecommunication Services;Telecom Services
T. Rowe Price Group Inc;XETR;TR1;Financial Services;Asset Management;Asset Management
TAG Immobilien AG;XETR;TEG;Real Estate;Real Estate;Real Estate Services
Take-Two Interactive Software Inc;XETR;TKE;Communication Services;Interactive Media;Electronic Gaming & Multimedia
Takkt AG;XETR;TTK;Industrials;Industrial Products;Business Equipment & Supplies
Talanx AG;XETR;TLX;Financial Services;Insurance;Insurance - Diversified
Tapestry Inc;XETR;COY;Consumer Cyclical;Retail - Cyclical;Luxury Goods
Target Corp;XETR;DYH;Consumer Defensive;Retail - Defensive;Discount Stores
TeamViewer AG;XETR;TMV;Technology;Software;Software - Application
technotrans SE;XETR;TTR1;Industrials;Industrial Products;Specialty Industrial Machinery
Telefonica Deutschland Holding AG;XETR;O2D;Communication Services;Telecommunication Services;Telecom Services
Teradyne Inc;XETR;TEY;Technology;Semiconductors;Semiconductor Equipment & Materials
Tesco PLC;XETR;TCO0;Consumer Defensive;Retail - Defensive;Grocery Stores
Tesla Inc;XETR;TL0;Consumer Cyclical;Vehicles & Parts;Auto Manufacturers
Texas Instruments Inc;XETR;TII;Technology;Semiconductors;Semiconductors
The Estee Lauder Companies Inc;XETR;ELAA;Consumer Defensive;Consumer Packaged Goods;Household & Personal Products
The Hershey Co;XETR;HSY;Consumer Defensive;Consumer Packaged Goods;Confectioners
The Home Depot Inc;XETR;HDI;Consumer Cyclical;Retail - Cyclical;Home Improvement Retail
The Kraft Heinz Co;XETR;KHNZ;Consumer Defensive;Consumer Packaged Goods;Packaged Foods
The Kroger Co;XETR;KOG;Consumer Defensive;Retail - Defensive;Grocery Stores
The Mosaic Co;XETR;02M;Basic Materials;Agriculture;Agricultural Inputs
The Naga Group AG;XETR;N4G;Financial Services;Capital Markets;Capital Markets
The Trade Desk Inc;XETR;TT8;Technology;Software;Software - Application
The Travelers Companies Inc;XETR;PA9;Financial Services;Insurance;Insurance - Property & Casualty
The Walt Disney Co;XETR;WDP;Communication Services;Media - Diversified;Entertainment
Thermo Fisher Scientific Inc;XETR;TN8;Healthcare;Medical Diagnostics & Research;Diagnostics & Research
thyssenkrupp AG;XETR;TKA;Industrials;Industrial Products;Metal Fabrication
Tilray Inc(Old);XETR;2HQ;Healthcare;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
TJX Companies Inc;XETR;TJX;Consumer Cyclical;Retail - Cyclical;Apparel Retail
tmc Content Group AG;XETR;ERO1;Communication Services;Media - Diversified;Entertainment
Tokentus Investment AG;XETR;14D;Financial Services;Asset Management;Asset Management
Tonies SE;XETR;TNIE;Consumer Cyclical;Travel & Leisure;Leisure
Tonkens Agrar AG;XETR;GTK;Consumer Defensive;Consumer Packaged Goods;Farm Products
Traton SE;XETR;8TRA;Industrials;Farm & Heavy Construction Machinery;Farm & Heavy Construction Machinery
Traumhaus AG;XETR;TRU;Consumer Cyclical;Homebuilding & Construction;Residential Construction
Tubesolar AG;XETR;9TS;Technology;Semiconductors;Solar
TUI AG;XETR;TUI1;Consumer Cyclical;Travel & Leisure;Travel Services
U.S. Bancorp;XETR;UB5;Financial Services;Banks;Banks - Regional
Uber Technologies Inc;XETR;UT8;Technology;Software;Software - Application
UET United Electronic Technology AG;XETR;CFC;Technology;Hardware;Communication Equipment
UMT United Mobility Technology AG;XETR;UMDK;Technology;Software;Software - Infrastructure
UmweltBank AG;XETR;UBK;Financial Services;Banks;Banks - Regional
UniDevice AG;XETR;UDC;Technology;Hardware;Electronics & Computer Distribution
Unilever NV;XETR;UNI2;Consumer Defensive;Consumer Packaged Goods;Household & Personal Products
Uniper SE;XETR;UN01;Utilities;Utilities - Independent Power Producers;Utilities - Independent Power Producers
United Airlines Holdings Inc;XETR;UAL1;Industrials;Transportation;Airlines
United Internet AG;XETR;UTDI;Communication Services;Telecommunication Services;Telecom Services
United Labels AG;XETR;ULC;Consumer Cyclical;Travel & Leisure;Leisure
United Parcel Service Inc;XETR;UPAB;Industrials;Transportation;Integrated Freight & Logistics
Uranium Energy Corp;XETR;U6Z;Energy;Other Energy Sources;Uranium
USU Software AG;XETR;OSP2;Technology;Software;Information Technology Services
Uzin Utz SE;XETR;UZU;Basic Materials;Chemicals;Specialty Chemicals
va-Q-tec AG;XETR;VQT;Industrials;Industrial Products;Specialty Industrial Machinery
Valero Energy Corp;XETR;V1L;Energy;Oil & Gas;Oil & Gas Refining & Marketing
Vantage Towers AG;XETR;VTWR;Real Estate;Real Estate;Real Estate Services
Vapiano SE;XETR;VAO;Consumer Cyclical;Restaurants;Restaurants
Varengold Wertpapierhandelsbank AG;XETR;VG8;Financial Services;Banks;Banks - Regional
Varta AG;XETR;VAR1;Industrials;Industrial Products;Electrical Equipment & Parts
Vectron Systems AG;XETR;V3S;Technology;Software;Software - Application
Veganz Group AG;XETR;VEZ;Consumer Defensive;Consumer Packaged Goods;Packaged Foods
VERBIO Vereinigte BioEnergie AG;XETR;VBK;Basic Materials;Chemicals;Specialty Chemicals
Verianos SE;XETR;VROS;Real Estate;Real Estate;Real Estate Services
Verizon Communications Inc;XETR;BAC;Communication Services;Telecommunication Services;Telecom Services
Vertex Pharmaceuticals Inc;XETR;VX1;Healthcare;Biotechnology;Biotechnology
VF Corp;XETR;VFP;Consumer Cyclical;Manufacturing - Apparel & Accessories;Apparel Manufacturing
Viatris Inc;XETR;VIA;Healthcare;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
VIB Vermoegen AG;XETR;VIH1;Real Estate;Real Estate;Real Estate Services
Villeroy & Boch AG;XETR;VIB3;Consumer Cyclical;Furnishings, Fixtures & Appliances;Furnishings, Fixtures & Appliances
Visa Inc;XETR;3V64;Financial Services;Credit Services;Credit Services
Viscom AG;XETR;V6C;Technology;Hardware;Scientific & Technical Instruments
Vita 34 AG;XETR;V3V;Healthcare;Healthcare Providers & Services;Medical Care Facilities
Vitesco Technologies Group AG;XETR;VTSC;Consumer Cyclical;Vehicles & Parts;Auto Parts
VMware Inc;XETR;BZF1;Technology;Software;Software - Infrastructure
Vodafone Group PLC;XETR;VODI;Communication Services;Telecommunication Services;Telecom Services
Volkswagen AG;XETR;VOW3;Consumer Cyclical;Vehicles & Parts;Auto Manufacturers
Vonovia SE;XETR;VNA;Real Estate;Real Estate;Real Estate Services
Vossloh AG;XETR;VOS;Industrials;Transportation;Railroads
Wacker Chemie AG;XETR;WCH;Basic Materials;Chemicals;Specialty Chemicals
Wacker Neuson SE;XETR;WAC;Industrials;Farm & Heavy Construction Machinery;Farm & Heavy Construction Machinery
Walgreens Boots Alliance Inc;XETR;W8A;Healthcare;Healthcare Providers & Services;Pharmaceutical Retailers
Walmart Inc;XETR;WMT;Consumer Defensive;Retail - Defensive;Discount Stores
Warner Bros. Discovery Inc;XETR;J5A;Communication Services;Media - Diversified;Entertainment
WashTec AG;XETR;WSU;Industrials;Industrial Products;Specialty Industrial Machinery
Waste Management Inc;XETR;UWS;Industrials;Waste Management;Waste Management
WCM Beteiligungs Und Grundbesitz AG;XETR;WCMK;Real Estate;Real Estate;Real Estate - Development
Wells Fargo & Co;XETR;NWT;Financial Services;Banks;Banks - Diversified
Weng Fine Art AG;XETR;WFA;Consumer Cyclical;Retail - Cyclical;Specialty Retail
West Pharmaceutical Services Inc;XETR;WPS;Healthcare;Medical Devices & Instruments;Medical Instruments & Supplies
Westwing Group SE;XETR;WEW;Consumer Cyclical;Furnishings, Fixtures & Appliances;Furnishings, Fixtures & Appliances
Wheaton Precious Metals Corp;XETR;SII;Basic Materials;Metals & Mining;Gold
Williams Companies Inc;XETR;WMB;Energy;Oil & Gas;Oil & Gas Midstream
Williams Grand Prix Holdings PLC;XETR;WGF1;Consumer Cyclical;Travel & Leisure;Leisure
Wirecard AG;XETR;WDI;Technology;Software;Software - Application
Wustenrot & Wurttembergische AG;XETR;WUW;Financial Services;Insurance;Insurance - Life
Wynn Resorts Ltd;XETR;WYR;Consumer Cyclical;Travel & Leisure;Resorts & Casinos
Xcel Energy Inc;XETR;NRN;Utilities;Utilities - Regulated;Utilities - Regulated Electric
Xerox Holdings Corp;XETR;XER2;Technology;Software;Information Technology Services
Yamana Gold Inc;XETR;RNY;Basic Materials;Metals & Mining;Gold
Yoc AG;XETR;YOC;Communication Services;Media - Diversified;Advertising Agencies
Zalando SE;XETR;ZAL;Consumer Cyclical;Retail - Cyclical;Internet Retail
ZEAL Network SE;XETR;TIMA;Consumer Cyclical;Travel & Leisure;Gambling
Zebra Technologies Corp;XETR;ZT1A;Technology;Hardware;Communication Equipment
Zoetis Inc;XETR;ZOE;Healthcare;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Zoom Video Communications Inc;XETR;5ZM;Technology;Software;Software - Application
Zscaler Inc;XETR;0ZC;Technology;Software;Software - Infrastructure
