c;market;v;isin
Remedy Entertainment PLC;XHEL;REMEDY; 
Revenio Group Oyj;XHEL;REG1V; 
Robit PLC;XHEL;ROBIT; 
Rovio Entertainment Corp;XHEL;ROVIO; 
Rush Factory PLC;XHEL;RUSH; 
Saga Furs Oyj;XHEL;SAGCV; 
Sampo Oyj;XHEL;SAMPO; 
Sanoma Oyj;XHEL;SANOMA; 
Savosolar PLC;XHEL;SAVOH; 
Scanfil PLC;XHEL;SCANFL; 
Sievi Capital Oyj;XHEL;SIEVI; 
Siili Solutions Oyj;XHEL;SIILI; 
Sitowise Group PLC;XHEL;SITOWS; 
Solteq Oyj;XHEL;SOLTEQ; 
Solwers Oyj;XHEL;SOLWERS; 
Sotkamo Silver AB;XHEL;SOSI1; 
Spinnova Oyj;XHEL;SPINN; 
Springvest Oyj;XHEL;SPRING; 
SRV Yhtiot Oyj;XHEL;SRV1V; 
SSH Communications Security Oyj;XHEL;SSH1V; 
Stockmann Oyj Abp;XHEL;STOCKA; 
Stora Enso Oyj;XHEL;STERV; 
Suominen Oyj;XHEL;SUY1V; 
Taaleri PLC;XHEL;TAALA; 
Talenom PLC;XHEL;TNOM; 
Tamtron Group Oyj;XHEL;TAMTRON; 
Tecnotree Corp;XHEL;TEM1V; 
Teleste Oyj;XHEL;TLT1V; 
Terveystalo PLC;XHEL;TTALO; 
TietoEVRY Corp;XHEL;TIETO; 
Tikkurila Oyj;XHEL;TIK1V; 
Titanium Oyj;XHEL;TITAN; 
Toivo Group Oyj;XHEL;TOIVO; 
Tokmanni Group Corp;XHEL;TOKMAN; 
Trainers' House OYJ;XHEL;TRH1V; 
Tulikivi Oyj;XHEL;TULAV; 
United Bankers Oyj;XHEL;UNITED; 
UPM-Kymmene Oyj;XHEL;UPM; 
Uponor Oyj;XHEL;UPONOR; 
Vaisala Oyj;XHEL;VAIAS; 
Valmet Corp;XHEL;VALMT; 
Valoe Corp;XHEL;VALOE; 
Verkkokauppa.com Oyj;XHEL;VERK; 
Viafin Service Oyj;XHEL;VIAFIN; 
Viking Line Abp;XHEL;VIK1V; 
Vincit PLC;XHEL;VINCIT; 
Wartsila Corp;XHEL;WRT1V; 
Wetteri Oyj;XHEL;WETTERI; 
WithSecure Corp;XHEL;WITH; 
Witted Megacorp PLC;XHEL;WITTED; 
Wulff-Yhtiot Oyj;XHEL;WUF1V; 
YIT Oyj;XHEL;YIT; 
