c;market;v;isin
Unifiedpost Group SA;XBRU;UPG; 
Van de Velde NV;XBRU;VAN; 
Vastned Belgium;XBRU;VASTB; 
VGP SA;XBRU;VGP; 
Viohalco SA;XBRU;VIO; 
Warehouses De Pauw;XBRU;WDP; 
Warehouses Estates Belgium SCA;XBRU;WEB; 
Wereldhave Belgium;XBRU;WEHB; 
Whitestone Group;XBRU;ROCK; 
Xior Student Housing NV;XBRU;XIOR; 
Zenobe Gramme Cert;XBRU;ZEN; 
Zetes Industries;XBRU;ZTSS; 
