c;market;v;isin
Huddlestock Fintech AS;XOSL;HUDL; 
Huddly AS;XOSL;HDLY; 
Hunter Group ASA;XOSL;HUNT; 
HydrogenPro ASA;XOSL;HYPRO; 
Hynion AS;XOSL;HYN; 
Hyon AS;XOSL;HYON; 
Ice Fish Farm AS;XOSL;IFISH; 
Icelandic Salmon AS;XOSL;ISLAX; 
IDEX Biometrics ASA;XOSL;IDEX; 
Induct AS;XOSL;INDCT; 
Infront ASA;XOSL;INFRO; 
INIFY Laboratories AB;XOSL;INIFY; 
Inin Group AS;XOSL;ININ; 
Insr ASA;XOSL;INSR; 
Instabank ASA;XOSL;INSTA; 
Integrated Wind Solutions ASA;XOSL;IWS; 
InterOil Exploration and Production ASA;XOSL;IOX; 
Itera ASA;XOSL;ITERA; 
Jaeren Sparebank;XOSL;JAREN; 
Jinhui Shipping and Transportation Ltd;XOSL;JIN; 
Kahoot ASA;XOSL;KAHOT; 
Kid ASA;XOSL;KID; 
Kitron ASA;XOSL;KIT; 
Klaveness Combination Carriers ASA;XOSL;KCC; 
KMC Properties ASA;XOSL;KMCP; 
Komplett ASA;XOSL;KOMPL; 
Komplett Bank ASA;XOSL;KOMP; 
Kongsberg Automotive Holdings ASA;XOSL;KOA; 
Kongsberg Gruppen ASA;XOSL;KOG; 
Kraft Bank ASA;XOSL;KRAB; 
Kvaerner ASA;XOSL;KVAER; 
Kyoto Group AS;XOSL;KYOTO; 
Lavo.tv AS;XOSL;LAVO-ME; 
Lea bank ASA;XOSL;LEA; 
Leroy Seafood Group ASA;XOSL;LSG; 
Lifecare AS;XOSL;LIFE; 
LINK Mobility Group Holding ASA;XOSL;LINK; 
Lumi Gruppen AS;XOSL;LUMI; 
Lytix Biopharma AS;XOSL;LYTIX; 
M Vest Water AS;XOSL;MVW; 
Magnora ASA;XOSL;MGN; 
Masoval AS;XOSL;MAS; 
Medistim ASA;XOSL;MEDI; 
Melhus Sparebank;XOSL;MELG; 
Meltwater NV;XOSL;MWTR; 
Mercell Holding ASA;XOSL;MRCEL; 
Mintra Holding AS;XOSL;MNTR; 
Mowi ASA;XOSL;MOWI; 
MPC Container Ships ASA;XOSL;MPCC; 
MPC Energy Solutions NV;XOSL;MPCES; 
Multiconsult ASA;XOSL;MULTI; 
Napatech A/S;XOSL;NAPA; 
NattoPharma ASA;XOSL;NATTO; 
Navamedic ASA;XOSL;NAVA; 
Nekkar ASA;XOSL;NKR; 
NEL ASA;XOSL;NEL; 
Netoil Capital Ltd;XOSL;NOC; 
Next Biometrics Group ASA;XOSL;NEXT; 
Nidaros Sparebank;XOSL;NISB; 
NorAm Drilling AS;XOSL;NORAM; 
Norbit ASA;XOSL;NORBT; 
Norcod AS;XOSL;NCOD; 
Nordhealth AS;XOSL;NORDH; 
Nordic Aqua Partners AS;XOSL;NOAP; 
Nordic Halibut AS;XOSL;NOHAL; 
Nordic Mining ASA;XOSL;NOM; 
Nordic Nanovector ASA;XOSL;NANOV; 
Nordic Semiconductor ASA;XOSL;NOD; 
Nordic Technology Group AS;XOSL;NTG; 
Nordic Unmanned ASA;XOSL;NUMND; 
Norse Atlantic ASA;XOSL;NORSE; 
Norsk Hydro ASA;XOSL;NHY; 
Norsk Solar AS;XOSL;NSOL; 
Norsk Titanium AS;XOSL;NTI; 
Norske Skog ASA;XOSL;NSKOG; 
Nortel AS;XOSL;NTEL; 
North Energy ASA;XOSL;NORTH; 
Northern Drilling Ltd;XOSL;NODL; 
Northern Ocean Ltd;XOSL;NOL; 
Norwegian Air Shuttle ASA;XOSL;NAS; 
Norwegian Block Exchange AS;XOSL;NBX; 
Norwegian Energy Co ASA;XOSL;NOR; 
Norwegian Finans Holding ASA;XOSL;NOFI; 
Norwegian Property ASA;XOSL;NPRO; 
NRC Group ASA;XOSL;NRC; 
Nykode Therapeutics AS;XOSL;NYKD; 
Observe Medical ASA;XOSL;OBSRV; 
Ocean GeoLoop AS;XOSL;OCEAN; 
Ocean Sun AS;XOSL;OSUN; 
Ocean Yield ASA;XOSL;OCY; 
Oceanteam ASA;XOSL;OTS; 
Odfjell Drilling Ltd;XOSL;ODL; 
Odfjell SE;XOSL;ODF; 
Odfjell Technology Ltd;XOSL;OTL; 
Okea ASA;XOSL;OKEA; 
Okeanis Eco Tankers Corp;XOSL;OET; 
Olav Thon Eiendomsselskap;XOSL;OLT; 
Orkla ASA;XOSL;ORK; 
Orn Software Holding AS;XOSL;ORN; 
Otello Corp ASA;XOSL;OTEC; 
Otovo ASA;XOSL;OTOVO; 
Panoro Energy ASA;XOSL;PEN; 
Pareto Bank ASA;XOSL;PARB; 
PatientSky Group AS;XOSL;PSKY; 
PCI Biotech Holding ASA;XOSL;PCIB; 
Petrolia SE;XOSL;PSE; 
PetroNor E&P ASA;XOSL;PNOR; 
Pexip Holding ASA;XOSL;PEXIP; 
PGS ASA;XOSL;PGS; 
Philly Shipyard ASA;XOSL;PHLY; 
PhotoCure ASA;XOSL;PHO; 
Polarcus Ltd;XOSL;PLCS; 
Polaris Media ASA;XOSL;POL; 
poLight ASA;XOSL;PLT; 
Prosafe SE;XOSL;PRS; 
Protector Forsikring ASA;XOSL;PROT; 
Proximar Seafood AS;XOSL;PROXI; 
Pryme NV;XOSL;PRYME; 
Pyrum Innovations AG;XOSL;PYRUM; 
Q-Free ASA;XOSL;QFR; 
Quantafuel ASA;XOSL;QFUEL; 
Questback Group AS;XOSL;QUEST; 
Questerre Energy Corp;XOSL;QEC; 
RAK Petroleum PLC;XOSL;RAKP; 
Rana Gruber ASA;XOSL;RANA; 
Reach Subsea ASA;XOSL;REACH; 
REC Silicon ASA;XOSL;RECSI; 
Recreate ASA;XOSL;RCR; 
River Tech PLC;XOSL;RIVER; 
Romerike Sparebank;XOSL;ROMER; 
RomReal Ltd;XOSL;ROM; 
Romsdal Sparebank;XOSL;ROMSB; 
S.D. Standard ETC PLC;XOSL;SDSD; 
Saga Pure ASA;XOSL;SAGA; 
SalMar ASA;XOSL;SALM; 
Salmon Evolution ASA;XOSL;SALME; 
Salmones Camanchaca SA;XOSL;SACAM; 
Sandnes Sparebank;XOSL;SADG; 
SATS ASA;XOSL;SATS; 
Scana ASA;XOSL;SCANA; 
Scatec ASA;XOSL;SCATC; 
Schibsted ASA;XOSL;SCHA; 
SeaBird Exploration PLC;XOSL;SBX; 
Seacrest Petroleo Bermuda Ltd;XOSL;SEAPT; 
Seadrill Ltd;XOSL;SDRL; 
Seaway 7 ASA;XOSL;SEAW7; 
Self Storage Group ASA;XOSL;SSG; 
Selvaag Bolig ASA;XOSL;SBO; 
Shelf Drilling (North Sea; Ltd;XOSL;SDNS; 
Shelf Drilling Ltd;XOSL;SHLF; 
Siem Offshore Inc;XOSL;SIOFF; 
Sikri Group ASA;XOSL;SIKRI; 
Skandia GreenPower AS;XOSL;SKAND; 
Skue Sparebank;XOSL;SKUE; 
SmartCraft ASA;XOSL;SMCRT; 
Smartoptics Group AS;XOSL;SMOP; 
SoftOx Solutions AS;XOSL;SOFTX; 
Sogn Sparebank;XOSL;SOGN; 
Solstad Offshore ASA;XOSL;SOFF; 
SpareBank 1 Helgeland;XOSL;HELG; 
SpareBank 1 Nord-Norge;XOSL;NONG; 
SpareBank 1 Nordmore;XOSL;SNOR; 
Sparebank 1 Ostfold Akershus;XOSL;SOAG; 
SpareBank 1 Ostlandet;XOSL;SPOL; 
SpareBank 1 Ringerike Hadeland;XOSL;RING; 
SpareBank 1 SMN;XOSL;MING; 
SpareBank 1 Sorost-Norge;XOSL;SOON; 
SpareBank 1 SR Bank ASA;XOSL;SRBNK; 
Sparebank 68 Grader Nord;XOSL;SB68; 
Sparebanken More;XOSL;MORG; 
Sparebanken Ost;XOSL;SPOG; 
Sparebanken Sor;XOSL;SOR; 
Sparebanken Telemark;XOSL;SBTE; 
Sparebanken Vest AS;XOSL;SVEG; 
Standard Supply AS;XOSL;STSU; 
Statt Torsk ASA;XOSL;STATT; 
Stolt-Nielsen Ltd;XOSL;SNI; 
Storebrand ASA;XOSL;STB; 
StrongPoint ASA;XOSL;STRO; 
Subsea 7 SA;XOSL;SUBC; 
Sunndal Sparebank;XOSL;SUNSB; 
Surnadal Sparebank;XOSL;SUSB; 
Targovax ASA;XOSL;TRVX; 
Team Tankers International Ltd;XOSL;TEAM; 
Techstep ASA;XOSL;TECH; 
Teco 2030 ASA;XOSL;TECO; 
Tekna Holding ASA;XOSL;TEKNA; 
Telenor ASA;XOSL;TEL; 
TGS ASA;XOSL;TGS; 
The Kingfish Co NV;XOSL;KING; 
Tomra Systems ASA;XOSL;TOM; 
Totens Sparebank;XOSL;TOTG; 
Treasure ASA;XOSL;TRE; 
