c;market;v;isin
ENAV SpA;XMIL;ENAV; 
Enel SpA;XMIL;ENEL; 
Energy SpA;XMIL;ENY; 
EnertronicaSanterno SpA;XMIL;ENT; 
Enervit SpA;XMIL;ENV; 
Eni SpA;XMIL;ENI; 
ENovia spa;XMIL;E9IA; 
Eprcomunicazione SpA;XMIL;EPRB; 
ePRICE SpA;XMIL;EPR; 
Equita Group SpA;XMIL;EQUI; 
ERG SPA;XMIL;ERG; 
ErreDue SpA;XMIL;RDUE; 
Esautomotion SpA;XMIL;ESAU; 
Esi SpA;XMIL;ESI; 
Esprinet SpA;XMIL;PRT; 
Estrima SpA;XMIL;BIRO; 
Eukedos SpA;XMIL;EUK; 
Euro Cosmetic SPA;XMIL;EC; 
Euro Group Laminations SpA;XMIL;EGLA; 
Eurotech;XMIL;ETH; 
Eviso SpA;XMIL;EVS; 
Expert .AI SpA;XMIL;EXAI; 
Exprivia SpA;XMIL;XPR; 
Fabilia Group SpA;XMIL;FHR; 
Fae Technology S.p.A.;XMIL;FAE; 
Falck Renewables SpA;XMIL;FKR; 
Farmacosmo SpA;XMIL;COSMO; 
Farmae SpA;XMIL;FAR; 
Fenix Entertainment SpA;XMIL;FNX; 
Ferrari NV;XMIL;RACE; 
Fervi SpA;XMIL;FVI; 
Fidia SpA;XMIL;FDA; 
Fiera Milano SpA;XMIL;FM; 
FILA-Fabbrica Italiana Lapis ed Affini SpA;XMIL;FILA; 
Finanza.tech SpA;XMIL;FTC; 
Fincantieri SpA;XMIL;FCT; 
Fine Foods & Pharmaceuticals NTM SpA;XMIL;FF; 
FinecoBank SpA;XMIL;FBK; 
Finlogic SpA;XMIL;FNL; 
First Capital SpA;XMIL;FIC; 
Fnm;XMIL;FNM; 
FOPE SpA;XMIL;FPE; 
Fos SpA;XMIL;FOS; 
Franchetti SpA;XMIL;FCH; 
Franchi Umberto Marmi SpA;XMIL;FUM; 
Frendy Energy SpA;XMIL;FDE; 
Friulchem SpA;XMIL;FCM; 
G Rent SpA;XMIL;GSR; 
Gabetti Property Solutions SPA;XMIL;GAB; 
Gambero Rosso SpA;XMIL;GAMB; 
Garofalo Health Care SpA;XMIL;GHC; 
Gas Plus SpA;XMIL;GSP; 
GEDI Gruppo Editoriale SpA;XMIL;GEDI; 
Gefran SpA;XMIL;GE; 
GEL SpA;XMIL;GEL; 
Generalfinance SpA;XMIL;GF; 
Gentili Mosconi SpA;XMIL;GM; 
Geox SpA;XMIL;GEO; 
Gequity SpA;XMIL;GEQ; 
Giglio Group SpA;XMIL;GG; 
Giglio.com;XMIL;G.COM; 
Gismondi 1754 SpA;XMIL;GIS; 
GM Leather SpA;XMIL;GML; 
GO internet SpA;XMIL;GO; 
GPI SpA;XMIL;GPI; 
Greenthesis SpA;XMIL;GTH; 
Grifal SpA;XMIL;GRAL; 
Growens SPA;XMIL;MAIL; 
Gruppo Green Power SpA;XMIL;GGP; 
Gruppo Mutuionline SpA;XMIL;MOL; 
Guala Closures SpA;XMIL;GCL; 
GVS SpA;XMIL;GVS; 
H-Farm Ventures SpA;XMIL;FARM; 
Health Italia SpA;XMIL;HI; 
Hera SpA;XMIL;HER; 
High Quality Food;XMIL;HQF; 
Homizy SpA;XMIL;HZY; 
Id-entity Sa;XMIL;IDNTT; 
Iervolino & Lady Bacardi Entertainment SpA;XMIL;IE; 
Igeamed SPA;XMIL;MED; 
iGrandiViaggi SpA;XMIL;IGV; 
Il Sole 24 Ore;XMIL;S24; 
Illa SpA;XMIL;ILLA; 
Illimity Bank SpA;XMIL;ILTY; 
Ilpra SpA;XMIL;ILP; 
Immobiliare Grande Distribuzione SiiQ SpA;XMIL;IGD; 
Immsi SpA;XMIL;IMS; 
Impianti SpA;XMIL;MPT; 
Imprendiroma SpA;XMIL;IMP; 
Imvest Spa;XMIL;YIV; 
Indel B SpA;XMIL;INDB; 
Industria Macchine Automatiche SpA;XMIL;IMA; 
Industrial Stars Of Italy 4 SpA;XMIL;IN4; 
Industrie Chimiche Forestali SpA;XMIL;ICF; 
Industrie De Nora spa;XMIL;DNR; 
Infrastrutture Wireless Italiane SpA;XMIL;INW; 
Iniziative Bresciane SpA;XMIL;IB; 
Innovatec SpA;XMIL;INC; 
Integrated System Credit Consulting Fintech SpA;XMIL;ISC; 
Intercos SpA;XMIL;ICOS; 
Intermonte Partners Sim SpA;XMIL;INT; 
International Care Co;XMIL;ICC; 
Interpump Group SpA;XMIL;IP; 
Intesa Sanpaolo;XMIL;ISP; 
Intred SpA;XMIL;ITD; 
IRCE SpA;XMIL;IRC; 
Iren SpA;XMIL;IRE; 
Isagro SpA;XMIL;ISG; 
It Way;XMIL;ITW; 
Italgas SpA;XMIL;IG; 
Italia Independent Group SpA;XMIL;IIG; 
Italian Exhibition Group SpA;XMIL;IEG; 
Italian Sea Group;XMIL;TISG; 
Italian Wine Brands SpA;XMIL;IWB; 
Italmobiliare SpA;XMIL;ITM; 
Iveco Group NV;XMIL;IVG; 
IVS Group SA;XMIL;IVS; 
Jonix SpA;XMIL;JNX; 
Juventus Football Club SpA;XMIL;JUVE; 
Ki Group SpA;XMIL;KI; 
KME Group SpA;XMIL;KME; 
Kolinpharma SpA;XMIL;KIP; 
La Doria SpA;XMIL;LD; 
Labomar SpA;XMIL;LBM; 
Laboratorio Farmaceutico Erfo SpA;XMIL;ERFO; 
Landi Renzo SpA;XMIL;LR; 
Leonardo SpA;XMIL;LDO; 
Leone Film Group SpA;XMIL;LFG; 
Life Care Capital SpA;XMIL;LCC; 
Lindbergh SpA;XMIL;LDB; 
Longino & Cardenal SpA;XMIL;LON; 
LU-VE SpA;XMIL;LUVE; 
Lucisano Media Group SpA;XMIL;LMG; 
LVenture Group SpA;XMIL;LVEN; 
Magis SpA;XMIL;MGS; 
Maire Tecnimont SpA;XMIL;MT; 
Maps SpA;XMIL;MAPS; 
Marr SpA;XMIL;MARR; 
Marzocchi Pompe SpA;XMIL;MARP; 
Masi Agricola SpA;XMIL;MASI; 
Massimo Zanetti Beverage Group SpA;XMIL;MZB; 
Matica Fintec SpA;XMIL;MFT; 
Medica SpA;XMIL;MIDC; 
Mediobanca SpA;XMIL;MB; 
Meglioquesto SpA;XMIL;ICALL; 
Met.Extra Group;XMIL;MET; 
MFE-MediaForEurope;XMIL;MFEB; 
Mit Sim SpA;XMIL;MTS; 
Mittel SpA;XMIL;MIT; 
Molmed SpA;XMIL;MLM; 
Moncler SpA;XMIL;MONC; 
Mondo TV (Suisse) SA;XMIL;MSU; 
Mondo TV France SA;XMIL;MTF; 
Mondo TV SpA;XMIL;MTV; 
Monnalisa SpA;XMIL;MNL; 
Monrif;XMIL;MON; 
NB Aurora SA Sicaf-Raif;XMIL;NBA; 
Neodecortech SpA;XMIL;NDT; 
Neosperience SpA;XMIL;NSP; 
Net Insurance SpA;XMIL;NET; 
Netweek SpA;XMIL;NTW; 
Neurosoft SA;XMIL;NRST; 
Newlat Food SpA;XMIL;NWL; 
Nexi SpA;XMIL;NEXI; 
Next Re SIIQ SpA;XMIL;NR; 
Nice Footwear SPA;XMIL;NFT; 
Notorious Pictures SpA;XMIL;NPI; 
Nusco SpA;XMIL;NUS; 
NVP SpA;XMIL;NVP; 
Officina Stellare SpA;XMIL;OS; 
Omer SpA;XMIL;OMER; 
Openjobmetis SpA Agenzia per il Lavoro;XMIL;OJM; 
Orsero SpA;XMIL;ORS; 
OSAI Automation System SpA;XMIL;OSA; 
OVS SpA;XMIL;OVS; 
Panariagroup Industrie Ceramiche SpA;XMIL;PAN; 
Pattern SpA;XMIL;PTR; 
PharmaNutra SpA;XMIL;PHN; 
Philogen Spa;XMIL;PHIL; 
Piaggio & C. SpA;XMIL;PIA; 
Pierrel SpA;XMIL;PRL; 
Pininfarina Spa;XMIL;PINF; 
Piovan SpA;XMIL;PVN; 
Piquadro SpA;XMIL;PQ; 
Pirelli & C SpA;XMIL;PIRC; 
Piteco SpA;XMIL;PITE; 
Planetel SpA;XMIL;PLT; 
PLC SpA;XMIL;PLC; 
Poligraf S Faustino SpA;XMIL;PSF; 
Poligrafici Printing SpA;XMIL;POPR; 
Portale Sardegna SpA;XMIL;PSA; 
Portobello SpA;XMIL;POR; 
Poste Italiane SpA;XMIL;PST; 
Powersoft SpA;XMIL;PWS; 
Pozzi Milano SpA;XMIL;POZ; 
Premia Finance SpA;XMIL;PFI; 
Prima Industrie SPA;XMIL;PRI; 
Prismi SpA;XMIL;PRM; 
Promotica SpA;XMIL;PMT; 
Prysmian SpA;XMIL;PRY; 
Racing Force SpA;XMIL;RFG; 
Radici Pietro Industries & Brands SpA;XMIL;RAD; 
Rai Way SpA;XMIL;RWAY; 
Ratti SpA;XMIL;RAT; 
Rcs Mediagroup;XMIL;RCS; 
Recordati SpA;XMIL;REC; 
Redelfi SpA;XMIL;RDF; 
Reevo SpA;XMIL;REEVO; 
Relatech SpA;XMIL;RLT; 
Renergetica SpA;XMIL;REN; 
Reno de Medici SPA;XMIL;RM; 
Reply SpA;XMIL;REY; 
Restart SIIQ;XMIL;RST; 
Retelit SpA;XMIL;LIT; 
Reti SpA;XMIL;RETI; 
REVO Insurance SpA;XMIL;REVO; 
Risanamento SpA;XMIL;RN; 
Rocket Sharing Co SpA;XMIL;RKT; 
Rosetti Marino;XMIL;YRM; 
Sababa Security SpA;XMIL;SBB; 
Sabaf;XMIL;SAB; 
Saccheria Flli Franceschetti SpA;XMIL;SAC; 
SAES Getters SPA;XMIL;SG; 
Safilo Group SpA;XMIL;SFL; 
Saipem SpA;XMIL;SPM; 
Salcef Group SpA;XMIL;SCF; 
Salvatore Ferragamo SpA;XMIL;SFER; 
Sanlorenzo SpA;XMIL;SL; 
Saras SpA;XMIL;SRS; 
Sciuker Frames SpA;XMIL;SCK; 
Sebino SpA;XMIL;SEB; 
Seco SpA;XMIL;IOT; 
Seri Industrial;XMIL;SERI; 
Servizi Italia SpA;XMIL;SRI; 
Sesa SpA;XMIL;SES; 
SG Co SpA;XMIL;SGC; 
Shedir Pharma Group SpA;XMIL;SHE; 
Siav SpA;XMIL;SIAV; 
Sicit Group SpA;XMIL;SICT; 
SIF Italia SpA;XMIL;SIF; 
Sirio SpA;XMIL;SIO; 
SIT SpA;XMIL;SIT; 
SITI B & T Group SpA;XMIL;SITI; 
Snam SpA;XMIL;SRG; 
Societa Editoriale Il Fatto SpA;XMIL;SEIF; 
Societa Sportiva Lazio SPA;XMIL;SSL; 
Softec SpA;XMIL;YSFT; 
Softlab SpA;XMIL;SOF; 
Sogefi SpA;XMIL;SO; 
SOL SpA;XMIL;SOL; 
Solid World Group SpA;XMIL;S3D; 
Solutions Capital Management SIM SpA;XMIL;SCM; 
Somec SpA;XMIL;SOM; 
SosTravel.com SpA;XMIL;SOS; 
Sourcesense SpA;XMIL;SOU; 
Spactiv SpA;XMIL;SPTV; 
Spindox SpA;XMIL;SPN; 
Star7 SpA;XMIL;STAR7; 
Stellantis NV;XMIL;STLAM; 
Svas Biosana SpA;XMIL;SVS; 
Take Off SpA;XMIL;TKO; 
Tamburi Investment Partners SpA;XMIL;TIP; 
TAS Tecnologia Avanzata dei Sistemi SpA;XMIL;TAS; 
Techedge SpA;XMIL;EDGE; 
Technical Publications Service SpA;XMIL;TPS; 
Technogym SpA;XMIL;TGYM; 
Technoprobe SpA;XMIL;TPRO; 
Tecma Solutions SpA;XMIL;TCM; 
Telecom Italia SpA;XMIL;TIT; 
Telesia SpA;XMIL;TLS; 
Tenaris SA;XMIL;TEN; 
Tenax International SpA;XMIL;TNX; 
Terna SpA;XMIL;TRN; 
Tesmec SpA;XMIL;TES; 
Tessellis SpA;XMIL;TSL; 
The Lifestyle Group;XMIL;WMC; 
Tinexta;XMIL;TNXT; 
TMP Group SpA;XMIL;TMP; 
Tod's SpA;XMIL;TOD; 
Toscana Aeroporti SpA;XMIL;TYA; 
TraWell Co SpA;XMIL;TWL; 
TrenDevice SPA;XMIL;TD; 
Trevi Finanziaria Industriale SpA;XMIL;TFI; 
Triboo SpA;XMIL;TB; 
TripAdvisor Inc;XMIL;TRIP; 
TXT e-solutions SpA;XMIL;TXT; 
UCapital24 SpA;XMIL;U24; 
Ulisse Biomed SpA;XMIL;UBM; 
UniCredit SpA;XMIL;UCG; 
Unidata SPA;XMIL;UD; 
Unieuro SpA;XMIL;UNIR; 
Unione di Banche Italiane SpA;XMIL;UBI; 
Unipol Gruppo SpA;XMIL;UNI; 
UnipolSai SPA;XMIL;US; 
Valsoia SpA;XMIL;VLS; 
Valtecne SPA;XMIL;VLT; 
Vantea Smart SpA;XMIL;VNT; 
Vetrya SpA;XMIL;VTY; 
Vianini SpA;XMIL;VIA; 
Vimi Fasteners SpA;XMIL;VIM; 
Vincenzo Zucchi SPA;XMIL;ZUC; 
Visibilia Editore SpA;XMIL;VE; 
Websolute SpA;XMIL;WEB; 
WeBuild SpA;XMIL;WBD; 
Wiit SpA;XMIL;WIIT; 
Yolo Group SpA;XMIL;YOLO; 
Zignago Vetro SpA;XMIL;ZV; 
