c;market;v;cat;subcat
Sensys Gatso Group AB;XSTO;SENS;Technology;Hardware
SenzaGen AB;XSTO;SENZA;Healthcare;Medical Diagnostics & Research
Senzime AB;XSTO;SEZI;Healthcare;Medical Devices & Instruments
Serneke Group AB;XSTO;SRNKE B;Industrials;Construction
Serstech AB;XSTO;SERT;Basic Materials;Chemicals
ShaMaran Petroleum Corp;XSTO;SNM;Energy;Oil & Gas
SignUp Software AB;XSTO;SIGNUP;Technology;Software
Sileon AB;XSTO;SILEON;Technology;Software
Simris Alg AB;XSTO;SIMRIS B;Healthcare;Biotechnology
Sinch AB;XSTO;SINCH;Communication Services;Telecommunication Services
SinterCast AB;XSTO;SINT;Industrials;Industrial Products
Sivers Semiconductors AB;XSTO;SIVE;Technology;Semiconductors
Skandinaviska Enskilda Banken AB;XSTO;SEB A;Financial Services;Banks
Skane-Mollan AB;XSTO;SKMO;Consumer Defensive;Consumer Packaged Goods
Skanska AB;XSTO;SKA B;Industrials;Construction
SKF AB;XSTO;SKF B;Industrials;Industrial Products
SkiStar AB;XSTO;SKIS B;Consumer Cyclical;Travel & Leisure
Skolon AB;XSTO;SKOLON;Consumer Defensive;Education
Sleep Cycle AB;XSTO;SLEEP;Technology;Software
Slitevind AB;XSTO;SLITE;Utilities;Utilities - Regulated
Smart Eye AB;XSTO;SEYE;Technology;Software
Smart Valor AG;XSTO;SMART SDB;Technology;Software
Smart Wires Technology Ltd;XSTO;GOGRID SDB;Industrials;Industrial Products
Soder Sportfiske AB;XSTO;SODER;Consumer Cyclical;Travel & Leisure
Softronic AB;XSTO;SOF B;Technology;Software
Solid Forsakringsaktiebolag;XSTO;SFAB;Financial Services;Insurance
Solnaberg Property AB;XSTO;SOLNA;Real Estate;Real Estate
SolTech Energy Sweden AB;XSTO;SOLT;Technology;Semiconductors
Sonetel AB;XSTO;SONE;Technology;Software
SOZAP AB;XSTO;SOZAP;Communication Services;Interactive Media
Spago Nanomedical AB;XSTO;SPAGO;Healthcare;Biotechnology
SpectraCure AB;XSTO;SPEC;Healthcare;Medical Devices & Instruments
SpectrumOne AB;XSTO;SPEONE;Technology;Software
Speqta AB (publ);XSTO;SPEQT;Communication Services;Interactive Media
Spherio Group AB (publ);XSTO;SFERIO;Consumer Cyclical;Retail - Cyclical
Spiffbet AB;XSTO;SPIFF;Communication Services;Interactive Media
Sprint Bioscience AB;XSTO;SPRINT;Healthcare;Biotechnology
SSAB AB;XSTO;SSAB A;Basic Materials;Steel
SSM Holding AB;XSTO;SSM;Consumer Cyclical;Homebuilding & Construction
Starbreeze AB;XSTO;STAR B;Communication Services;Interactive Media
Stayble Therapeutics AB;XSTO;STABL;Healthcare;Biotechnology
Stendorren Fastigheter AB;XSTO;STEF B;Real Estate;Real Estate
Stenhus Fastigheter i Norden AB;XSTO;SFAST;Real Estate;Real Estate
Stille AB;XSTO;STIL;Healthcare;Medical Devices & Instruments
Stillfront Group AB;XSTO;SF;Communication Services;Interactive Media
Stockwik Forvaltning AB;XSTO;STWK;Financial Services;Asset Management
Storskogen Group AB;XSTO;STOR B;Financial Services;Asset Management
Storytel AB;XSTO;STORY B;Communication Services;Media - Diversified
Strax AB;XSTO;STRAX;Technology;Hardware
Studentbostader i Norden AB;XSTO;STUDBO;Consumer Cyclical;Homebuilding & Construction
Studsvik AB;XSTO;SVIK;Industrials;Waste Management
Surgical Science Sweden AB;XSTO;SUS;Healthcare;Healthcare Providers & Services
Svedbergs i Dalstorp AB;XSTO;SVED B;Industrials;Construction
Svenska Aerogel Holding AB;XSTO;AERO;Basic Materials;Chemicals
Svenska Cellulosa AB;XSTO;SCA A;Basic Materials;Forest Products
Svenska Handelsbanken AB;XSTO;SHB A;Financial Services;Banks
Svenska Nyttobostader AB;XSTO;NYTTO;Real Estate;Real Estate
Svolder AB;XSTO;SVOL A;Financial Services;Asset Management
Sweco AB;XSTO;SWEC A;Industrials;Construction
Swedbank AB;XSTO;SWED A;Financial Services;Banks
Sweden BuyersClub AB;XSTO;BUY;Consumer Cyclical;Retail - Cyclical
Swedencare AB;XSTO;SECARE;Healthcare;Drug Manufacturers
Swedish Logistic Property AB;XSTO;SLP B;Real Estate;Real Estate
Swedish Orphan Biovitrum AB;XSTO;SOBI;Healthcare;Drug Manufacturers
Swedish Stirling AB;XSTO;STRLNG;Industrials;Industrial Products
SynAct Pharma AB;XSTO;SYNACT;Healthcare;Biotechnology
Synsam AB;XSTO;SYNSAM;Healthcare;Medical Devices & Instruments
Systemair AB;XSTO;SYSR;Industrials;Construction
TagMaster AB;XSTO;TAGM B;Technology;Hardware
TalkPool AG;XSTO;TALK;Communication Services;Telecommunication Services
Tangiamo Touch Technology AB;XSTO;TANGI;Consumer Cyclical;Travel & Leisure
tbd30 AB;XSTO;TBD30 A;Industrials;Construction
TC TECH Sweden AB;XSTO;TCT;Industrials;Industrial Products
Tele2 AB;XSTO;TEL2 B;Communication Services;Telecommunication Services
Telefonaktiebolaget L M Ericsson;XSTO;ERIC B;Technology;Hardware
Telia Company AB;XSTO;TELIA;Communication Services;Telecommunication Services
Tellusgruppen AB;XSTO;TELLUS;Consumer Defensive;Education
Tempest Security AB;XSTO;TSEC;Industrials;Business Services
Teqnion AB;XSTO;TEQ;Industrials;Industrial Distribution
Terranet AB;XSTO;TERRNT B;Technology;Software
Tessin Nordic Holding AB;XSTO;TESSIN;Real Estate;Real Estate
Tethys Oil AB;XSTO;TETY;Energy;Oil & Gas
TF Bank AB;XSTO;TFBANK;Financial Services;Banks
TH1NG AB;XSTO;TH1NG;Communication Services;Telecommunication Services
Thule Group AB;XSTO;THULE;Consumer Cyclical;Travel & Leisure
Thunderful Group AB;XSTO;THUNDR;Communication Services;Interactive Media
Titania Holding AB;XSTO;TITA B;Real Estate;Real Estate
Tobii AB;XSTO;TOBII;Technology;Hardware
Tobii Dynavox AB;XSTO;TDVOX;Healthcare;Medical Devices & Instruments
Tobin Properties AB;XSTO;TOBIN PREF.PFD;Real Estate;Real Estate
Toleranzia AB;XSTO;TOL;Healthcare;Drug Manufacturers
Tourn International AB;XSTO;TOURN;Communication Services;Interactive Media
Traction AB;XSTO;TRAC B;Financial Services;Asset Management
TradeDoubler AB;XSTO;TRAD;Communication Services;Media - Diversified
Train Alliance Sweden AB;XSTO;TRAIN B;Industrials;Construction
Transtema Group AB;XSTO;TRANS;Communication Services;Telecommunication Services
Tre Kronor Property Investment AB;XSTO;3KR;Real Estate;Real Estate
Trelleborg AB;XSTO;TREL B;Industrials;Industrial Products
Trention AB;XSTO;TRENT;Financial Services;Credit Services
Triboron International AB;XSTO;TRIBO B;Basic Materials;Chemicals
Troax Group AB;XSTO;TROAX;Industrials;Industrial Products
Truecaller AB;XSTO;TRUE B;Technology;Software
Twiik AB;XSTO;TWIIK;Technology;Software
Unibap AB;XSTO;UNIBAP;Technology;Hardware
Unlimited Travel Group AB;XSTO;UTG;Consumer Cyclical;Travel & Leisure
Upsales Technology AB;XSTO;UPSALE;Technology;Software
Urb-it AB;XSTO;URBIT;Industrials;Transportation
USWE Sports AB;XSTO;USWE;Consumer Cyclical;Travel & Leisure
Var Energi ASA;XSTO;VARO;Energy;Oil & Gas
Vastra Hamnen Corporate Finance AB;XSTO;VH;Financial Services;Asset Management
VBG Group AB;XSTO;VBG B;Consumer Cyclical;Vehicles & Parts
VEF AB;XSTO;VEFAB;Financial Services;Asset Management
VEF Ltd;XSTO;VEFL SDB;Financial Services;Asset Management
Veg of Lund AB;XSTO;VOLAB;Consumer Defensive;Consumer Packaged Goods
Vertiseit AB;XSTO;VERT B;Technology;Software
Vestum AB;XSTO;VESTUM;Industrials;Construction
Viaplay Group AB;XSTO;VPLAY A;Communication Services;Media - Diversified
Vicore Pharma Holding AB;XSTO;VICO;Healthcare;Biotechnology
